,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
290,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,15593,1361,4.2,7699,28990,Coolita,2025,73.44
291,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,7590,59999,Android,2025,87.35
292,Acer,Acer Advanced I Series,55,Ultra HD (4K),LED,"Dolby Vision-Atmos, 36W...",5721,807,4.2,41990,149999,Google,2023,72.01
293,Hisense,Hisense 65U7Q,65,Ultra HD (4K),LED,2.1CH Audio Sys...,145,25,4.4,22990,22990,VIDAA,2025,0.0
294,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1141,173,4.1,5890,254990,Android,2024,97.69
295,TCL,TCL,75,Ultra HD (4K),LED,Dolby Audio & HDR10,9842,1303,4.3,22990,22990,Google,2023,0.0
296,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,9842,1303,4.3,5890,34990,Android,2025,83.17
297,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,219867,23402,4.3,19999,159990,Android,2023,87.5
298,TCL,TCL T89C,65,Ultra HD (4K),LED,HVA Panel | Dolby Visio...,12696,1609,4.1,34990,34990,Google,2025,0.0
300,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",86,12,4.6,31999,44999,Google,2024,28.89
301,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",25710,2989,4.2,21999,21999,Google,2024,0.0
302,realme,realme,32,HD Ready,LED,Android 11,82,4,4.0,12699,23999,Android,2023,47.09
303,realme,realme,32,Full HD,LED,Not Specified,16584,3516,4.4,12699,22999,Android,2021,44.78
304,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,1282,157,4.1,10499,59900,Google,2025,82.47
305,SONY,SONY,43,Ultra HD (4K),LED,Not Specified,8304,929,4.0,19999,19999,Android,2024,0.0
306,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,13,1,4.2,13499,79999,Coolita,2025,83.13
307,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",4,0,4.8,23999,23999,Google,2024,0.0
308,Samsung,Samsung QN800BK,75,Ultra HD (8K),LED,Not Specified,5624,1136,4.5,40990,40990,Tizen,2022,0.0
309,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,7490,47990,Android,2024,84.39
310,TCL,TCL,43,Full HD,LED,Google Assistant,4,0,3.8,21990,58900,Android,2024,62.67
311,Samsung,Samsung,50,Ultra HD (4K),LED,Not Specified,1695,365,4.2,13999,13999,Tizen,2024,0.0
312,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,1282,157,4.1,7699,19999,Coolita,2025,61.5
314,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,66,8,4.1,7590,22990,Android,2025,66.99
315,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,9842,1303,4.3,5890,38490,Android,2024,84.7
316,Sansui,Sansui,43,Full HD,LED,Dolby Audio,25710,2989,4.2,19530,44999,Android,2023,56.6
317,TOSHIBA,TOSHIBA,43,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",1282,157,4.1,22990,22990,Google,2025,0.0
318,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,747,108,4.4,19999,98900,Android,2023,79.78
319,Samsung,Samsung,65,Ultra HD (4K),LED,Not Specified,8304,929,4.0,79490,169990,Tizen,2024,53.24
320,TCL,TCL C755,55,Ultra HD (4K),LED,144Hz VRR and IMAX Enhanced,1282,157,4.1,59990,59999,Google,2024,0.02
321,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",2853,293,4.2,31999,147990,Google,2024,78.38
322,Samsung,Samsung BU8570UL,65,Ultra HD (4K),LED,Not Specified,2826,459,4.2,19999,19999,Tizen,2022,0.0
323,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,15593,1361,4.2,12990,149999,Android,2025,91.34
324,Hisense,Hisense A6K,75,Ultra HD (4K),LED,"Hands Free Voice Control, Dolby Vi...",8304,929,4.0,69999,224990,Google,2023,68.89
325,LG,LG OLED A3,65,Ultra HD (4K),LED,"Alpha7 AI, AI Pic...",1282,157,4.1,29990,29990,webOS,2023,0.0
326,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,5496,570,4.2,7490,28990,Android,2024,74.16
327,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,917,167,4.1,7590,61990,Android,2025,87.76
328,TCL,TCL C645,43,Ultra HD (4K),LED,Hands-Free Voice Control,9842,1303,4.3,27900,99999,Google,2023,72.1
329,Hisense,Hisense Q6N,65,Ultra HD (4K),LED,Dolby Vision Atmos Far Field Voic...,5721,807,4.2,13999,13999,Google,2024,0.0
330,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,33,6,4.9,7699,52990,Coolita,2025,85.47
331,TCL,TCL V6B,43,Ultra HD (4K),LED,24W Dolby Audio and Metallic Bezel-Les...,747,108,4.4,20990,22990,Google,2024,8.7
332,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,9842,1303,4.3,5890,22990,Android,2024,74.38
333,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,120,8,4.1,5890,59999,Android,2025,90.18
334,Acer,Acer Advanced I Series,55,Ultra HD (4K),LED,"Dolby Vision-Atmos, 36W...",1695,365,4.2,17999,17999,Google,2023,0.0
336,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",892,144,4.3,31999,34990,Google,2024,8.55
337,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,951,148,4.1,19999,169900,Android,2023,88.23
338,SONY,Unknown,55,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,105440,224990,Google,2023,53.14
